                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1043,                 13.243,                 2.8019,                      0,                      0,                      0,                      0,                 5.0662,                 29.932,                 6.2306,                0.00048,                0.00048,                0.00048
                      2,                 1.0177,                  6.523,                 1.6086,                0.61573,                0.16944,                0.67195,                0.44312,                 1.0099,                 10.411,                 2.0042,             0.00097806,             0.00097806,             0.00097806
                      3,                0.97314,                 5.5861,                 1.5886,                0.68349,                    0.6,                0.75532,                0.51717,                0.92659,                 9.2273,                 2.2945,              0.0014741,              0.0014741,              0.0014741
                      4,                 1.0189,                 5.0557,                 1.5918,                0.74479,                    0.7,                0.75313,                0.44672,                 1.2335,                 6.7865,                 2.0503,              0.0019682,              0.0019682,              0.0019682
                      5,                0.91717,                 4.4838,                 1.5151,                0.97734,                    0.9,                0.98591,                0.68736,                0.81178,                 5.1239,                  1.909,              0.0019842,              0.0019842,              0.0019842
                      6,                0.84795,                  4.172,                 1.4409,                0.79563,                      1,                  0.945,                0.72702,                 1.0031,                 3.9408,                 1.7282,              0.0019842,              0.0019842,              0.0019842
                      7,                0.87339,                 3.6365,                 1.4315,                0.90837,                0.99211,                0.98591,                0.68452,                0.84776,                 4.2391,                 1.6552,              0.0019802,              0.0019802,              0.0019802
                      8,                0.85364,                 3.3179,                 1.4197,                0.83188,                      1,                  0.995,                0.69971,                0.73782,                 7.9228,                 1.5512,              0.0019762,              0.0019762,              0.0019762
                      9,                0.82848,                 3.0515,                 1.3895,                 0.9484,                      1,                  0.995,                0.58379,                 1.1629,                 5.0731,                  2.311,              0.0019723,              0.0019723,              0.0019723
                     10,                0.95349,                 2.9035,                 1.4729,                0.89444,                    0.9,                0.85346,                0.47061,                 1.4533,                 4.4834,                 2.1237,              0.0019683,              0.0019683,              0.0019683
                     11,                0.92799,                 2.4818,                  1.503,                0.92326,                    0.6,                0.80282,                0.59717,                0.95125,                 3.5831,                 1.8113,              0.0019644,              0.0019644,              0.0019644
                     12,                0.89448,                 2.4498,                 1.4214,                0.99294,                      1,                  0.995,                 0.8187,                0.63558,                 2.3485,                 1.3783,              0.0019604,              0.0019604,              0.0019604
                     13,                0.81667,                 2.0453,                  1.352,                0.98949,                      1,                  0.995,                0.83116,                0.77401,                 2.2149,                 1.7205,              0.0019564,              0.0019564,              0.0019564
                     14,                0.83759,                 1.9852,                 1.3637,                0.99015,                      1,                  0.995,                0.77694,                 0.8241,                 1.6148,                 1.6167,              0.0019525,              0.0019525,              0.0019525
                     15,                 0.7574,                 1.6777,                 1.2951,                0.99463,                      1,                  0.995,                0.82131,                0.64533,                 1.4428,                 1.4218,              0.0019485,              0.0019485,              0.0019485
                     16,                0.79263,                 1.5446,                  1.348,                0.99385,                      1,                  0.995,                0.83764,                0.78577,                 1.4409,                 1.5132,              0.0019446,              0.0019446,              0.0019446
                     17,                0.77021,                 1.4349,                 1.3005,                0.99145,                      1,                  0.995,                 0.8287,                0.64427,                 1.0818,                  1.562,              0.0019406,              0.0019406,              0.0019406
                     18,                0.74853,                 1.3504,                 1.3318,                0.99223,                      1,                  0.995,                0.80728,                0.67253,                 1.1594,                   1.43,              0.0019366,              0.0019366,              0.0019366
                     19,                0.74985,                 1.2165,                  1.269,                0.99219,                      1,                  0.995,                0.79039,                0.70841,                 1.0331,                 1.4837,              0.0019327,              0.0019327,              0.0019327
                     20,                 0.7182,                 1.0701,                 1.2486,                0.99469,                      1,                  0.995,                0.81876,                0.64597,                0.89502,                 1.4176,              0.0019287,              0.0019287,              0.0019287
                     21,                0.73907,                 1.0076,                 1.2564,                 0.9941,                      1,                  0.995,                0.86607,                0.67645,                0.81693,                  1.404,              0.0019248,              0.0019248,              0.0019248
                     22,                0.69516,                0.91123,                 1.1914,                0.98294,                      1,                  0.995,                0.82557,                0.63093,                 0.8083,                 1.4119,              0.0019208,              0.0019208,              0.0019208
                     23,                0.71706,                0.89068,                 1.2263,                0.97505,                      1,                  0.995,                0.83175,                0.65277,                0.94323,                 1.5024,              0.0019168,              0.0019168,              0.0019168
                     24,                0.69095,                0.83826,                 1.2499,                0.99341,                      1,                  0.995,                0.85154,                0.62138,                0.75429,                 1.3697,              0.0019129,              0.0019129,              0.0019129
                     25,                 0.7094,                0.83279,                  1.242,                0.99272,                      1,                  0.995,                0.81361,                0.70938,                 0.7015,                 1.6907,              0.0019089,              0.0019089,              0.0019089
                     26,                0.65976,                0.74332,                 1.2116,                0.99334,                      1,                  0.995,                0.81783,                0.68409,                0.67262,                 1.5667,               0.001905,               0.001905,               0.001905
                     27,                0.69054,                0.74118,                 1.2178,                0.99417,                      1,                  0.995,                0.84185,                0.63171,                0.66416,                 1.5594,               0.001901,               0.001901,               0.001901
                     28,                0.69908,                0.70948,                 1.2133,                0.99451,                      1,                  0.995,                0.84266,                0.65747,                0.66068,                  1.407,               0.001897,               0.001897,               0.001897
                     29,                0.66333,                0.66695,                 1.2249,                0.99266,                      1,                  0.995,                0.88307,                0.51516,                0.56382,                 1.2182,              0.0018931,              0.0018931,              0.0018931
                     30,                0.66075,                0.62224,                 1.1699,                0.99464,                      1,                  0.995,                0.86807,                  0.637,                0.58232,                 1.3546,              0.0018891,              0.0018891,              0.0018891
                     31,                0.68097,                0.66619,                 1.1861,                0.99423,                      1,                  0.995,                0.94521,                0.47301,                0.52662,                 1.2413,              0.0018852,              0.0018852,              0.0018852
                     32,                0.62835,                0.60377,                 1.1588,                0.99438,                      1,                  0.995,                0.92451,                0.51284,                0.49137,                 1.2507,              0.0018812,              0.0018812,              0.0018812
                     33,                0.66869,                0.58743,                 1.2098,                0.98658,                      1,                  0.995,                0.92665,                0.45167,                 0.4681,                 1.2327,              0.0018772,              0.0018772,              0.0018772
                     34,                0.67542,                0.58221,                 1.1749,                0.99431,                      1,                  0.995,                0.81986,                0.55444,                0.47784,                 1.3241,              0.0018733,              0.0018733,              0.0018733
                     35,                0.64561,                0.55358,                 1.1772,                0.99445,                      1,                  0.995,                0.87093,                 0.5366,                0.48188,                 1.3934,              0.0018693,              0.0018693,              0.0018693
                     36,                0.66123,                0.57068,                 1.1795,                0.99449,                      1,                  0.995,                0.89773,                0.46354,                0.48467,                 1.2831,              0.0018654,              0.0018654,              0.0018654
                     37,                0.63542,                0.54179,                   1.16,                0.99456,                      1,                  0.995,                0.83684,                0.58804,                0.43524,                 1.2652,              0.0018614,              0.0018614,              0.0018614
                     38,                0.60256,                0.51452,                 1.1389,                0.99475,                      1,                  0.995,                 0.9158,                0.50594,                 0.4434,                 1.2349,              0.0018574,              0.0018574,              0.0018574
                     39,                0.64836,                0.51662,                 1.1477,                0.99336,                      1,                  0.995,                0.88613,                0.45729,                0.36963,                 1.2404,              0.0018535,              0.0018535,              0.0018535
                     40,                0.59914,                0.48543,                 1.1079,                0.99433,                      1,                  0.995,                0.87372,                0.48066,                0.39723,                 1.2551,              0.0018495,              0.0018495,              0.0018495
                     41,                 0.6271,                  0.501,                 1.1988,                0.99421,                      1,                  0.995,                0.90652,                0.45585,                0.36453,                 1.2737,              0.0018456,              0.0018456,              0.0018456
                     42,                0.62114,                0.49883,                 1.1275,                0.99413,                      1,                  0.995,                0.87654,                0.57226,                0.40993,                 1.4506,              0.0018416,              0.0018416,              0.0018416
                     43,                0.68238,                 0.5172,                 1.2216,                0.99439,                      1,                  0.995,                0.89773,                0.46493,                0.36788,                 1.2315,              0.0018376,              0.0018376,              0.0018376
                     44,                0.60621,                0.46951,                 1.1631,                0.99463,                      1,                  0.995,                0.87511,                0.51215,                0.38634,                 1.3577,              0.0018337,              0.0018337,              0.0018337
                     45,                0.61359,                0.46415,                  1.151,                0.99456,                      1,                  0.995,                0.90093,                0.50123,                0.41539,                 1.3775,              0.0018297,              0.0018297,              0.0018297
                     46,                 0.6337,                0.49048,                 1.1565,                0.99421,                      1,                  0.995,                0.84022,                0.51704,                0.40132,                 1.2946,              0.0018258,              0.0018258,              0.0018258
                     47,                0.57468,                0.45622,                 1.1309,                0.99416,                      1,                  0.995,                0.92785,                0.39542,                0.36317,                  1.159,              0.0018218,              0.0018218,              0.0018218
                     48,                0.58946,                0.45949,                 1.1159,                0.99475,                      1,                  0.995,                0.94836,                0.42655,                0.35272,                 1.1397,              0.0018178,              0.0018178,              0.0018178
                     49,                0.58977,                0.46073,                 1.1517,                0.99386,                      1,                  0.995,                0.96955,                0.36033,                0.31791,                 1.0767,              0.0018139,              0.0018139,              0.0018139
                     50,                0.58454,                0.44426,                 1.1408,                0.99469,                      1,                  0.995,                0.89938,                0.39034,                0.29941,                 1.1672,              0.0018099,              0.0018099,              0.0018099
                     51,                0.61572,                0.45249,                 1.1336,                0.99467,                      1,                  0.995,                0.93744,                 0.3959,                 0.3412,                 1.1352,               0.001806,               0.001806,               0.001806
                     52,                 0.5946,                0.42005,                  1.123,                0.99388,                      1,                  0.995,                0.90289,                0.34801,                0.33993,                 1.0953,               0.001802,               0.001802,               0.001802
                     53,                0.56979,                0.43502,                 1.1548,                0.99447,                      1,                  0.995,                0.95296,                0.38294,                  0.335,                  1.112,               0.001798,               0.001798,               0.001798
                     54,                0.52331,                0.40085,                 1.0956,                 0.9948,                      1,                  0.995,                0.94652,                0.46268,                 0.3345,                 1.2161,              0.0017941,              0.0017941,              0.0017941
                     55,                0.54971,                0.39688,                 1.1008,                0.99466,                      1,                  0.995,                0.96846,                0.38593,                 0.2782,                 1.0962,              0.0017901,              0.0017901,              0.0017901
                     56,                0.59993,                0.41485,                 1.1469,                 0.9929,                      1,                  0.995,                0.90969,                0.39475,                0.30773,                 1.1534,              0.0017862,              0.0017862,              0.0017862
                     57,                0.57289,                0.40719,                 1.0982,                0.99468,                      1,                  0.995,                0.93636,                 0.2924,                0.28922,                 1.0243,              0.0017822,              0.0017822,              0.0017822
                     58,                0.53562,                0.38527,                 1.0729,                0.99461,                      1,                  0.995,                0.95016,                0.33569,                0.30257,                 1.0668,              0.0017782,              0.0017782,              0.0017782
                     59,                0.55902,                0.39554,                 1.1018,                0.98889,                      1,                  0.995,                0.95427,                0.34688,                0.32501,                 1.1332,              0.0017743,              0.0017743,              0.0017743
                     60,                0.57457,                0.39812,                 1.0915,                0.99466,                      1,                  0.995,                0.95674,                0.32408,                0.31209,                 1.0214,              0.0017703,              0.0017703,              0.0017703
                     61,                0.52445,                 0.3734,                 1.0683,                0.99277,                      1,                  0.995,                0.95058,                0.35771,                0.31646,                 1.0394,              0.0017664,              0.0017664,              0.0017664
                     62,                0.51926,                 0.3673,                 1.0378,                0.99436,                      1,                  0.995,                0.90879,                0.45653,                0.33785,                  1.247,              0.0017624,              0.0017624,              0.0017624
                     63,                0.55621,                0.36884,                 1.0416,                0.99459,                      1,                  0.995,                0.92203,                0.39008,                0.32093,                 1.0994,              0.0017584,              0.0017584,              0.0017584
                     64,                0.50061,                0.35403,                 1.0471,                0.99436,                      1,                  0.995,                0.93517,                0.34156,                0.29129,                 1.0531,              0.0017545,              0.0017545,              0.0017545
                     65,                0.59134,                0.39903,                 1.1049,                 0.9897,                      1,                  0.995,                0.95982,                0.36479,                0.40284,                 1.0732,              0.0017505,              0.0017505,              0.0017505
                     66,                0.53969,                0.37513,                 1.0772,                0.99019,                      1,                  0.995,                0.96294,                0.37733,                0.37022,                 1.1407,              0.0017466,              0.0017466,              0.0017466
                     67,                0.55828,                0.38827,                 1.0592,                0.99215,                      1,                  0.995,                 0.9806,                0.32666,                 0.3644,                 1.0784,              0.0017426,              0.0017426,              0.0017426
                     68,                0.51629,                 0.3647,                 1.0727,                0.99455,                      1,                  0.995,                0.90905,                0.52919,                0.37631,                 1.3523,              0.0017386,              0.0017386,              0.0017386
                     69,                0.56094,                0.38173,                 1.0781,                0.99443,                      1,                  0.995,                0.91258,                0.41568,                0.33125,                 1.1757,              0.0017347,              0.0017347,              0.0017347
                     70,                0.52565,                0.34822,                  1.056,                 0.9934,                      1,                  0.995,                 0.9391,                 0.3657,                0.32561,                 1.1065,              0.0017307,              0.0017307,              0.0017307
                     71,                0.56633,                0.37269,                 1.1039,                0.99472,                      1,                  0.995,                0.91294,                0.47634,                 0.3485,                 1.1887,              0.0017268,              0.0017268,              0.0017268
                     72,                0.54943,                0.36531,                 1.0479,                0.99444,                      1,                  0.995,                0.94736,                0.42261,                0.32746,                 1.1734,              0.0017228,              0.0017228,              0.0017228
