                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6757,                 8.7922,                 2.3117,                0.54483,                0.83943,                0.71673,                0.26727,                 1.1728,                 3.5354,                 2.4119,              0.0033239,              0.0033239,              0.0033239
                      2,                 1.3224,                 2.1424,                 1.8696,                0.90097,                 0.9107,                0.98591,                0.65241,                 0.9113,                 2.2576,                 1.7992,               0.006644,               0.006644,               0.006644
                      3,                 1.3209,                 1.3729,                 1.8559,                0.87286,                    0.7,                0.90833,                0.62952,                0.94298,                 1.6826,                 1.8485,               0.009951,               0.009951,               0.009951
                      4,                 1.3025,                 1.1755,                  1.869,                0.89425,                      1,                0.98591,                0.65369,                 1.0281,                 0.9153,                 1.8473,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.2205,                  1.006,                 1.7785,                0.99255,                      1,                  0.995,                0.89624,                0.58586,                0.61338,                 1.3894,              0.0099406,              0.0099406,              0.0099406
                      6,                 1.1674,                0.93542,                 1.7349,                0.95253,                      1,                  0.995,                0.76558,                0.90918,                0.95501,                 1.5111,              0.0099208,              0.0099208,              0.0099208
                      7,                  1.128,                0.87611,                 1.6667,                0.99143,                      1,                  0.995,                0.88743,                0.45591,                0.49544,                 1.1557,               0.009901,               0.009901,               0.009901
                      8,                 1.1116,                0.83847,                 1.6491,                0.99123,                      1,                  0.995,                0.92181,                0.45283,                0.48035,                 1.2404,              0.0098812,              0.0098812,              0.0098812
                      9,                 1.0648,                0.80219,                 1.6134,                0.98967,                      1,                  0.995,                0.85242,                0.65749,                0.45407,                 1.6142,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.0359,                0.76679,                 1.5761,                0.99316,                      1,                  0.995,                0.93553,                0.40314,                0.39803,                 1.0931,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.0197,                0.76284,                 1.5672,                 0.9948,                      1,                  0.995,                0.91741,                0.33405,                0.38798,                 1.0097,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.0124,                0.74382,                 1.5528,                0.98282,                      1,                  0.995,                0.75426,                0.71347,                0.47344,                 1.2981,               0.009802,               0.009802,               0.009802
                     13,                0.99429,                0.71508,                 1.5314,                0.99488,                      1,                  0.995,                0.89142,                0.49125,                0.31095,                 1.2974,              0.0097822,              0.0097822,              0.0097822
                     14,                0.97773,                 0.7019,                 1.5147,                0.97984,                      1,                  0.995,                0.87526,                  0.364,                0.51203,                 1.0326,              0.0097624,              0.0097624,              0.0097624
                     15,                 0.9959,                0.72004,                 1.5179,                 0.9847,                      1,                  0.995,                0.91663,                 0.4049,                0.42346,                 1.1744,              0.0097426,              0.0097426,              0.0097426
                     16,                0.95604,                0.68236,                 1.4856,                0.99341,                      1,                  0.995,                0.91507,                0.37127,                  0.321,                0.97477,              0.0097228,              0.0097228,              0.0097228
                     17,                0.95122,                0.67835,                 1.4727,                0.99245,                      1,                  0.995,                0.94338,                0.40985,                0.38469,                 1.0685,               0.009703,               0.009703,               0.009703
                     18,                 0.9372,                0.66957,                 1.4674,                0.99438,                      1,                  0.995,                0.95249,                0.32009,                0.27334,                 1.0901,              0.0096832,              0.0096832,              0.0096832
                     19,                0.93196,                0.65261,                 1.4558,                0.99287,                      1,                  0.995,                0.94958,                0.39091,                0.39638,                 1.0668,              0.0096634,              0.0096634,              0.0096634
                     20,                0.92014,                0.65068,                 1.4498,                0.99366,                      1,                  0.995,                0.90027,                0.58609,                0.40673,                 1.2049,              0.0096436,              0.0096436,              0.0096436
                     21,                0.92055,                0.62998,                 1.4354,                0.99414,                      1,                  0.995,                0.94139,                0.36934,                 0.3252,                 1.0764,              0.0096238,              0.0096238,              0.0096238
                     22,                 0.9079,                 0.6358,                 1.4335,                 0.9922,                      1,                  0.995,                0.89746,                0.43437,                0.26693,                 1.1145,               0.009604,               0.009604,               0.009604
                     23,                0.90373,                0.62754,                 1.4147,                0.99506,                      1,                  0.995,                0.91243,                0.37601,                0.28906,                 1.1547,              0.0095842,              0.0095842,              0.0095842
                     24,                 0.9307,                0.63574,                 1.4244,                0.98331,                      1,                  0.995,                0.94277,                0.42298,                0.52138,                 1.1332,              0.0095644,              0.0095644,              0.0095644
                     25,                0.90962,                0.62751,                 1.4186,                0.99357,                      1,                  0.995,                  0.995,                0.26458,                0.25628,                0.96369,              0.0095446,              0.0095446,              0.0095446
                     26,                0.90111,                0.61053,                 1.4202,                0.99519,                      1,                  0.995,                0.97327,                0.29377,                0.25842,                0.94367,              0.0095248,              0.0095248,              0.0095248
                     27,                0.88104,                0.61093,                 1.3904,                0.99476,                      1,                  0.995,                  0.995,                0.24217,                0.24518,                0.92661,               0.009505,               0.009505,               0.009505
                     28,                0.90163,                 0.6114,                 1.4055,                0.99459,                      1,                  0.995,                0.91467,                0.40342,                0.27966,                 1.0334,              0.0094852,              0.0094852,              0.0094852
                     29,                0.87982,                0.59347,                 1.3823,                0.99422,                      1,                  0.995,                0.98599,                0.26241,                0.24526,                0.95882,              0.0094654,              0.0094654,              0.0094654
